"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,2,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",34.00,10.00,7.13,0.00,0.56,0.00,2.30,0.00,0.00,887.00,633.00,0.00,9.00,0.00,245.00,
2019,2,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",98.00,9.00,3.52,0.00,2.22,0.00,3.26,0.00,0.00,564.00,267.00,0.00,55.00,0.00,242.00,
2019,2,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",120.00,17.00,4.76,3.85,2.92,0.00,5.47,2.00,1.00,1000.00,144.00,332.00,113.00,0.00,411.00,
2019,2,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",28.00,3.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,77.00,0.00,0.00,19.00,0.00,58.00,
2019,2,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",2688.00,560.00,91.97,19.00,180.56,0.00,268.46,28.00,3.00,49781.00,11492.00,2968.00,9504.00,0.00,25817.00,
2019,2,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",52.00,12.00,7.66,0.00,1.39,0.00,2.95,3.00,3.00,604.00,372.00,0.00,49.00,0.00,183.00,
2019,2,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",93.00,8.00,1.10,0.28,2.04,0.00,4.58,3.00,0.00,487.00,30.00,19.00,127.00,0.00,311.00,
2019,2,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",71.00,9.00,2.32,0.00,3.51,0.00,3.17,5.00,0.00,499.00,131.00,0.00,138.00,0.00,230.00,
2019,2,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",61.00,22.00,6.80,0.03,8.41,0.00,6.76,0.00,0.00,1291.00,411.00,2.00,361.00,0.00,517.00,
2019,2,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",78.00,17.00,9.60,0.27,1.86,0.00,5.27,1.00,0.00,1597.00,955.00,43.00,69.00,0.00,530.00,
2019,2,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",96.00,20.00,3.86,0.72,5.32,0.00,10.11,6.00,0.00,1313.00,179.00,63.00,181.00,0.00,890.00,
2019,2,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",428.00,80.00,8.74,3.30,31.68,0.00,36.28,21.00,0.00,5750.00,953.00,177.00,1505.00,0.00,3115.00,
2019,2,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",25.00,2.00,1.96,0.00,0.00,0.00,0.04,0.00,0.00,138.00,136.00,0.00,0.00,0.00,2.00,
2019,2,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",197.00,38.00,12.37,2.00,7.15,0.00,16.47,8.00,0.00,3743.00,1305.00,638.00,339.00,0.00,1461.00,
2019,2,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",364.00,63.00,10.85,5.01,22.40,0.00,24.74,36.00,2.00,4072.00,984.00,534.00,942.00,0.00,1612.00,
2019,2,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",219.00,35.00,15.03,0.83,7.49,0.00,11.64,6.00,0.00,2221.00,970.00,30.00,268.00,0.00,953.00,
2019,2,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",122.00,31.00,15.99,1.00,3.91,0.00,10.10,3.00,0.00,1993.00,930.00,286.00,113.00,0.00,664.00,
2019,2,"9E","Endeavor Air Inc.","CAK","Akron, OH: Akron-Canton Regional",50.00,14.00,6.09,0.00,2.18,0.00,5.73,0.00,1.00,651.00,383.00,0.00,70.00,0.00,198.00,
2019,2,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",100.00,15.00,4.66,1.00,4.66,0.00,4.68,1.00,0.00,884.00,389.00,48.00,172.00,0.00,275.00,
2019,2,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",139.00,17.00,5.76,2.87,2.00,0.00,6.37,2.00,1.00,2056.00,227.00,1183.00,152.00,0.00,494.00,
2019,2,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",79.00,24.00,10.72,0.94,5.92,0.00,6.42,5.00,0.00,1906.00,507.00,481.00,228.00,0.00,690.00,
2019,2,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",321.00,44.00,15.04,1.37,14.32,0.00,13.27,20.00,0.00,2660.00,963.00,90.00,622.00,0.00,985.00,
2019,2,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",183.00,31.00,6.14,1.51,12.54,0.00,10.81,5.00,2.00,2302.00,600.00,64.00,647.00,0.00,991.00,
2019,2,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",115.00,17.00,5.48,0.17,4.55,0.00,6.80,2.00,0.00,1281.00,277.00,25.00,221.00,0.00,758.00,
2019,2,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",78.00,12.00,5.93,0.83,3.89,0.00,1.34,0.00,0.00,765.00,420.00,39.00,145.00,0.00,161.00,
2019,2,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",899.00,232.00,42.44,5.90,52.94,0.00,130.71,15.00,1.00,17962.00,3387.00,675.00,2417.00,0.00,11483.00,
2019,2,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",100.00,29.00,6.57,4.93,12.12,0.00,5.38,4.00,1.00,3381.00,473.00,2030.00,444.00,0.00,434.00,
2019,2,"9E","Endeavor Air Inc.","DAY","Dayton, OH: James M Cox/Dayton International",26.00,6.00,0.08,0.00,0.18,0.00,5.74,0.00,0.00,497.00,8.00,0.00,29.00,0.00,460.00,
